NEKK_COD,NEKK_BEZ,LIMNEK_COD,LIMNEK_BEZ,KNG_COD,KNG_BEZ,NEKK_LBL,B_JAHR,B_GRUNDLAGE,SHAPE.AREA,SHAPE.LEN
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),39.19099058,87.6364454870685
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,1988-97,BoKa-ZH (Einzelfall),3570.84723605,309.54159723495206
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,511.82083059,100.543707455523
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),815.5731292,267.682368119393
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,5N,1988-97,BoKa-ZH,7493.141465025,453.97902317763305
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),9942.922750595,1408.81813170894
9,9 - Extensives Wies- und Weideland,N,Hangneigung,1,1 - Ackerbaugebiet,9N,1988-97,BoKa-ZH (Einzelfall),6716.48259843,409.25834213279904
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),2031.6640972750001,215.80627381919703
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,3,3 - Übergangsgebiet futterbaubetont,7L,1988-97,BoKa-ZH (Einzelfall),4842.196520545001,282.79473063799
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,2,2 - Übergangsgebiet ackerbaubetont,3I,1988-97,BoKa-ZH (Einzelfall),34134.05092593,1054.8496511354301
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,180721.13470583,3025.04727233328
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,25032.078927075,863.621280087302
4,4 - Getreidebetonte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,4S,2009,FFF-Revision 09 (BoKa-ZH),17373.71767485,1164.19904011312
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,24523.90433424,1351.8540277751201
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,2,2 - Übergangsgebiet ackerbaubetont,7L,1988-97,BoKa-ZH (Einzelfall),5307.201837565,410.66613619580204
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",L,Lage im Relief,3,3 - Übergangsgebiet futterbaubetont,6L,1988-97,BoKa-ZH,16697.211053445,719.29820692476
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,0.106126225,2.87791760310351
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,0.3626445,13.9285513576479
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,2,2 - Übergangsgebiet ackerbaubetont,5F,1988-97,BoKa-ZH,6755.391173965,325.891390202448
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,3679.3627244550003,389.471686176109
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,1766.19243945,297.022696750039
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),2739.0409856,369.83829771486
5,5 - Futterbaubetonte Fruchtfolge,F,Fremdnässe,1,1 - Ackerbaugebiet,5F,1988-97,BoKa-ZH,13623.73152479,613.2580357672381
8,8 - Wiesland (wegen Nässe nur zum Mähen geeignet),F,Fremdnässe,1,1 - Ackerbaugebiet,8F,1988-97,BoKa-ZH,5941.24046753,324.301217140557
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),20452.6876065,1281.13453915652
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,6773.64877628,419.669129896176
9,9 - Extensives Wies- und Weideland,N,Hangneigung,2,2 - Übergangsgebiet ackerbaubetont,9N,1988-97,BoKa-ZH,5247.61162635,321.967635073079
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,6R,2009,FFF-Revision 09 (BoKa-ZH),1023.97866836,483.178062166847
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",A,Bodenart,3,3 - Übergangsgebiet futterbaubetont,6A,1988-97,BoKa-ZH (Einzelfall),17525.980510495,826.922969416973
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",F,Fremdnässe,3,3 - Übergangsgebiet futterbaubetont,6F,1988-97,BoKa-ZH (Einzelfall),24996.46351871,631.04071459443
7,7 - Gutes bis mässig gutes Wies- und Weideland,A,Bodenart,3,3 - Übergangsgebiet futterbaubetont,7A,1988-97,BoKa-ZH,9200.118014045001,589.1998632558759
7,7 - Gutes bis mässig gutes Wies- und Weideland,R,Hangneigung FFF,2,2 - Übergangsgebiet ackerbaubetont,7R,2009,FFF-Revision 09 (BoKa-ZH),157.2486196,102.942430344483
2-5,Bereich 2-5,kA,keine Angabe,2,2 - Übergangsgebiet ackerbaubetont,2-5,2009,FFF-Revision 09,2010.21269379,242.783709603162
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),28.607529999999997,30.0252632960182
7,7 - Gutes bis mässig gutes Wies- und Weideland,L,Lage im Relief,1,1 - Ackerbaugebiet,7L,1988-97,BoKa-ZH (Einzelfall),2235.2072145350003,370.750099600738
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,34130.051515295,786.670788888067
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,8218.633668665001,397.72555231822
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH,24619.20680725,829.064557540005
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),6355.620482105,412.902632964168
1-5,Bereich 1-5,kA,keine Angabe,1,1 - Ackerbaugebiet,1-5,2009,FFF-Revision 09,11384.65245533,453.92077615064403
5,5 - Futterbaubetonte Fruchtfolge,N,Hangneigung,1,1 - Ackerbaugebiet,5N,1988-97,BoKa-ZH,5320.653350065,584.108350210142
3,3 - Getreidebetonte Fruchtfolge 1. Güte,F,Fremdnässe,1,1 - Ackerbaugebiet,3F,1988-97,BoKa-ZH (Einzelfall),13563.278623895001,613.602283752448
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,2009,FFF-Revision 09 (BoKa-ZH),9834.493417115,691.909914555475
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,126009.56973669,3375.4394604938
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),674.86460785,218.96333726841502
5,5 - Futterbaubetonte Fruchtfolge,O,Oberflächengestalt,1,1 - Ackerbaugebiet,5O,1988-97,BoKa-ZH (Einzelfall),5423.89658917,443.0066084165671
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),1005.8403042250001,216.81395463801002
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,2009,FFF-Revision 09 (BoKa-ZH),97.07669309500001,50.430958287600895
9,9 - Extensives Wies- und Weideland,N,Hangneigung,3,3 - Übergangsgebiet futterbaubetont,9N,1988-97,BoKa-ZH,13173.035937485001,933.42394636003
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),14322.029109795001,808.6891672521881
4,4 - Getreidebetonte Fruchtfolge 2. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,4G,1988-97,BoKa-ZH (Einzelfall),11253.768382865,1036.94636592619
10,10 - Streueland,F,Fremdnässe,1,1 - Ackerbaugebiet,10F,1988-97,BoKa-ZH (Einzelfall),60827.856747645,2262.2099134117702
2,2 - Uneingeschränkte Fruchtfolge 2. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,2S,1988-97,BoKa-ZH,63969.31278091,1556.26445693294
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,1,1 - Ackerbaugebiet,6,2009,FFF-Revision 09,11200.56289022,447.96105910123003
3,3 - Getreidebetonte Fruchtfolge 1. Güte,I,Staunässe,1,1 - Ackerbaugebiet,3I,1988-97,BoKa-ZH (Einzelfall),9577.748698174999,570.660740156807
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,1988-97,BoKa-ZH,30755.056258115,1063.9280288612601
3,3 - Getreidebetonte Fruchtfolge 1. Güte,S,Bodenskelett,1,1 - Ackerbaugebiet,3S,2009,FFF-Revision 09 (BoKa-ZH),49452.670045735,1573.8762112914
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",R,Hangneigung FFF,1,1 - Ackerbaugebiet,6R,2009,FFF-Revision 09 (BoKa-ZH),3008.397179985,295.670507233853
6,"6 - Futterbau bevorzugt, Ackerbau stark eingeschränkt",kA,keine Angabe,3,3 - Übergangsgebiet futterbaubetont,6,2009,FFF-Revision 09,5072.147951635,333.82965759902305
3,3 - Getreidebetonte Fruchtfolge 1. Güte,G,Nutzbarer Wurzelraum (Gründigkeit),1,1 - Ackerbaugebiet,3G,1988-97,BoKa-ZH,9032.36136693,368.55665248882
