LENGTH,STRASS_ID,RICHTPLANT,STRADATNAM,UNTERHALT,EIGENTUM,STRASSTYP,UREG_TEXT,JAHR,SHAPE.LEN
58.34092643,4736,23,356,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,58.341011593799
183.34206548,4721,23,4,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,183.342137450828
127.18607963,4732,1, ,unbekannt,unbekannt,Gemeindestrassen,,05_12_2017,127.186129112561
234.76678987,6520,10,10010,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,234.766732174492
315.49618378,1224,12,16061,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,315.496201190079
31.07493027,1223,23,348,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,31.074950233266698
325.5144913,4147,30,30060.1,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,325.514523531908
165.13245516,4221,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,165.132458757247
165.30551123,4174,30,30059,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,165.30547884385103
153.59768773,4309,30,30051,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,153.59766235924
244.65164692,4235,30,30058,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,244.651626176879
220.20397845,4227,23,347,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,220.20394200955
32.8281086,4279,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,32.8281083311344
16.9085453,4264,30,30090,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,16.9085668351874
225.05836549,4273,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,225.058294814401
216.63182701,4272,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,216.631851395946
543.33729255,4263,30,30090,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,543.3373349423761
1170.44984421,4784,30,30044,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,1170.4498499190602
346.34798082,2742,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,346.34797311402406
246.29696061,4768,30,1,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,246.29698896315202
142.44338845,834,12,16143,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,142.443338198534
141.0245929,842,12,16146,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,141.02454576041103
147.1839581,833,12,16145,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,147.183914772995
108.89582966,378,30,1,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,108.89579035905301
460.76601051,837,12,16145,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,460.76602728186504
235.86017694,4779,30,30044,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,235.86022154349502
596.21596949,389,23,30041,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,596.215987114879
195.36121355,1479,12,16146,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,195.361213309481
46.2247867,381,30,1,Stadt Zürich,Kanton,Regionale Verbindungsstrassen (RVS) Kanton,,05_12_2017,46.224786699886494
293.13049833,204,23,351,UB1,Kanton,Hauptverkehrsstrassen (HVS) Kanton,I,05_12_2017,293.130453362404
32.35058144,6952,23,589,UB1,Kanton,Hauptverkehrsstrassen (HVS) Kanton,I,05_12_2017,32.350578922597
124.93561929,797,12,16074,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,124.935619687427
177.25187405,2761,12,16275,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,177.251819644292
166.11031292,1232,10,10510,Werkhof Urdorf,Nationalstrasse,Hochleistungsstrassen (HLS) Bund richtungsgetrennt,GE VII,05_12_2017,166.110312914172
172.80179708,983,12,16075,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,172.801753180253
25.71943825,5962,23,K-001,UB1,Kanton,Hauptverkehrsstrassen (HVS) Kanton,I,05_12_2017,25.719498151963897
36.1557386,5961,23,K-001,UB1,Kanton,Hauptverkehrsstrassen (HVS) Kanton,I,05_12_2017,36.155725596146794
4.93775643,2731,23,351,UB1,Kanton,Hauptverkehrsstrassen (HVS) Kanton,I,05_12_2017,4.9377564318220495
49.45660153,1161,12,16300,Werkhof Urdorf,Nationalstrasse,HLS Bund Anschluss,GE VII,05_12_2017,49.4565615747679
304.35248952,392,23,1,Stadt Zürich,Kanton,Hauptverkehrsstrassen (HVS) Kanton,,05_12_2017,304.352520643996
281.70887631,4916,40, ,Gemeinde,Gemeinde,Gemeindestrassen,,05_12_2017,281.708886067152
