GEMEINDE,ORT,PLZ,STRASSE,ENSEMBLE,OBJEKT,GVZ_NR,BAUJAHR,EINSTUFUNG,FESTSETZUNG,ERLASS,SCHUTZ,GRUNDBUCHEINTRAG,OST,NORD,E,N
Zürich,Zürich,8004,Herdernstrasse 77,Zürich: Schlachthof,"ehem. Bahnwärterhaus, heute Nebengebäude",26403231,1909,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2680745.90990098,1248781.85492089,2680745.91,1248781.855
Zürich,Zürich,8005,,Zürich: Sperrstelle 6090,Beobachtungsstand A04873,,1,regional,,,-,,2681165.91934257,1249809.85552356,2681165.919,1249809.856
Zürich,Zürich,8002,Gablerstrasse 15,Zürich: Rietberg Museum Ensemble mit Parkanlage,Rieterpark,,1857,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682461.88527843,1245813.83794372,2682461.885,1245813.838
Zürich,Zürich,8002,Parkring 30,,"Villa dem Schönen, Liceo Artistico",26501014,1898,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2682442.88865234,1246696.83682121,2682442.889,1246696.837
Zürich,Zürich,8004,Rebgasse 8,Zürich: Zett-Haus,Hausteil Rebgasse 8,26400155,1930,kantonal,19810812,"RRB Nr. 3048/1981 Liste Stadt Zürich, kantonal nur Hausteil Rebgasse 8",-,,2682482.89448171,1247608.83712896,2682482.894,1247608.837
Zürich,Zürich,8002,General Guisan Quai; Arboretum; Mythenquai 3 bei,Zürich: Sperrstelle 6090,Bunker A 4841,,1939,kantonal,19921021,BDV Nr. 889/1992 Einzelaufstufung,ÖREB,19921207,2682940.89040406,1246449.83486916,2682940.89,1246449.835
Zürich,Zürich,8002,General Guisan Quai; Arboretum; Mythenquai 3 bei,Zürich: Sperrstelle 6090,Bunker A 4840,,1939,kantonal,19921021,BDV Nr. 889/1992 Einzelaufstufung,ÖREB,19921207,2682955.88994575,1246299.83504333,2682955.89,1246299.835
Zürich,Zürich,8001,Börsenstrasse 10; Fraumünsterstrasse 12; Fraumünsterstrasse 14; Stadthausquai 11; Stadthausquai 13,,Geschäftshaus «Metropol»,28101824,1894,regional,20060427,"BDV Nr. 3020/2006, RRB Nr. 3048/1981 Liste Stadt Zürich vom 12.08.1981",ÖREB,20080630,2683299.89615567,1246976.83445054,2683299.896,1246976.834
Zürich,Zürich,8001,Münsterhof 20; Wühre 1,,Zunfthaus zur Meise,28101296,1751,kantonal,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,ÖREB,20121203,2683313.89607468,1247153.83446005,2683313.896,1247153.835
Zürich,Zürich,8001,Münsterbrücke,,Münsterbrücke,,1836,regional,19810812,RRB Nr. 3048/1981 Liste Stadt Zürich,-,,2683374.89662581,1247153.83450199,2683374.897,1247153.835
