,East,North
156,8.53988587174802,47.3712917600166
157,8.53987012145604,47.3712702858434
158,8.53990323995235,47.371164663854
159,8.54001228406367,47.3709072533182
160,8.54007671065262,47.3707481443859
161,8.54009060916729,47.3707376764177
162,8.53997561910985,47.3706906038933
163,8.5400810082106,47.37053960477
164,8.54010264551085,47.370487784245
165,8.54020951447484,47.3705256870791
166,8.54029144158083,47.370555444231
167,8.54034650028204,47.3705716140718
168,8.5403999510118,47.3705881410407
169,8.54046474377166,47.3705960773591
170,8.54058584061026,47.3706093233332
171,8.54063307081447,47.370612524754
172,8.54066884832037,47.3706144771612
173,8.54078281059526,47.370623986052
174,8.54084418502128,47.3706247676491
175,8.54091235173054,47.3706268156754
176,8.54103934051779,47.3706329977212
177,8.54104278296781,47.3705689643449
