Jahr,X_WGS84,Y_WGS84,Betriebsname,StrasseLang,HNr,PLZ,Ort,StatZoneSort,StatZoneLang,QuarSort,QuarLang,KreisSort,KreisLang,Oeffnungszeit,Betriebsart,Betriebsstatus,EKoord,NKoord,AnzBetriebe
2017,8.54897776508361,47.3659393724324,Commercio,Mühlebachstrasse,2,8008,Zürich,8201,Kreuzstrasse,82,Mühlebach,8,Kreis 8,0400/Frei,Gastwirtschaft,Offen,2683870.714,1246714.876,1
2017,8.55189531526598,47.3638839596359,Mühlebach,Mühlebachstrasse,43,8008,Zürich,8201,Kreuzstrasse,82,Mühlebach,8,Kreis 8,,Gastwirtschaft,Offen,2684094.319,1246489.497,1
2017,8.54408826844615,47.3743732471882,Migros Niederdorf,Mühlegasse,11,8001,Zürich,1101,Zähringerstrasse,11,Rathaus,1,Kreis 1,,Gastwirtschaft,Offen,2683488.2,1247647.263,1
2017,8.54408826844615,47.3743732471882,Paragonya Wellness Club,Mühlegasse,11,8001,Zürich,1101,Zähringerstrasse,11,Rathaus,1,Kreis 1,,Nebenwirtschaft,Offen,2683488.2,1247647.263,1
2017,8.54411072025102,47.3740971241162,Old House Bar,Mühlegasse,14,8001,Zürich,1102,Prediger,11,Rathaus,1,Kreis 1,0400/frei,Gastwirtschaft,Offen,2683490.328,1247616.59,1
2017,8.54441223006825,47.3742877327965,Predigerhof,Mühlegasse,15,8001,Zürich,1101,Zähringerstrasse,11,Rathaus,1,Kreis 1,0400/frei,Gastwirtschaft,Offen,2683512.799,1247638.101,1
2017,8.54488360225511,47.3744525170856,Scheuble Hotel,Mühlegasse,17,8001,Zürich,1101,Zähringerstrasse,11,Rathaus,1,Kreis 1,,Gastwirtschaft,Offen,2683548.138,1247656.922,1
2017,8.54442962482362,47.3740232438036,Bistrot chez  Marion,Mühlegasse,22,8001,Zürich,1102,Prediger,11,Rathaus,1,Kreis 1,,Gastwirtschaft,Offen,2683514.527,1247608.716,1
2017,8.54548226185876,47.3746531758386,Coconut Thai Take away,Mühlegasse,29,8001,Zürich,1101,Zähringerstrasse,11,Rathaus,1,Kreis 1,,Gastwirtschaft,Offen,2683593.033,1247679.867,1
2017,8.5434033907331,47.3744494040285,Haifisch Bar,Mühlegasse,3,8001,Zürich,1101,Zähringerstrasse,11,Rathaus,1,Kreis 1,0400/frei,Cabaret / Nachtclub,Offen,2683436.36,1247655.001,1
2017,8.54355515857984,47.3744099478833,Kormasutra,Mühlegasse,5,8001,Zürich,1101,Zähringerstrasse,11,Rathaus,1,Kreis 1,,Gastwirtschaft,Offen,2683447.883,1247650.776,1
2017,8.53125690104271,47.3743144585445,Eat & Meat,Müllerstrasse,16,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682519.287,1247627.155,1
2017,8.53056283625025,47.3743527474506,Real,Müllerstrasse,23,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682466.813,1247630.682,1
2017,8.53020354498375,47.3746630299862,Coffee Shack,Müllerstrasse,31,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682439.2,1247664.799,1
2017,8.52985999326425,47.3749208739905,New Crazy Horse,Müllerstrasse,37,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/frei,Cabaret / Nachtclub,Offen,2682412.857,1247693.103,1
2017,8.52926929847464,47.3754095357255,Daniel H. Bar,Müllerstrasse,51,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,Fr/Sa frei,Gastwirtschaft,Offen,2682367.494,1247746.808,1
2017,8.52914816299213,47.3755209955477,The Mixt,Müllerstrasse,55,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682358.174,1247759.072,1
2017,8.52886445941652,47.3757382611144,EX4BAR,Müllerstrasse,63,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/Frei,Gastwirtschaft,Offen,2682336.414,1247782.928,1
2017,8.52888484221323,47.3760886535398,The Sacred,Müllerstrasse,64,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,,Gastwirtschaft,Offen,2682337.412,1247821.903,1
2017,8.52867813342109,47.3761787654668,Don Miguel,Müllerstrasse,72,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/Frei,Gastwirtschaft,Offen,2682321.663,1247831.704,1
2017,8.528591515944,47.3762584160073,Queens Bar,Müllerstrasse,74,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/frei,Gastwirtschaft,Offen,2682314.999,1247840.468,1
2017,8.52787241130734,47.3768242544349,Chillis,Müllerstrasse,92,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/frei,Cabaret / Nachtclub,Offen,2682259.822,1247902.619,1
2017,8.52787241130734,47.3768242544349,Hôtel Bar Chilli's,Müllerstrasse,92,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/Frei,Gastwirtschaft,Offen,2682259.822,1247902.619,1
2017,8.52743553067039,47.3768520931853,Fly,Müllerstrasse,93,8004,Zürich,4205,Volkshaus,42,Langstrasse,4,Kreis 4,0400/frei,Gastwirtschaft,Offen,2682226.788,1247905.256,1
2017,8.54411928823501,47.3712196005474,Bodega Espanola,Münstergasse,15,8001,Zürich,1103,Grossmünster,11,Rathaus,1,Kreis 1,täglich bis 0200 Uhr,Gastwirtschaft,Offen,2683495.482,1247296.702,1
2017,8.54400036855823,47.3713293372005,Schwarzenbach,Münstergasse,17,8001,Zürich,1103,Grossmünster,11,Rathaus,1,Kreis 1,,Gastwirtschaft,Offen,2683486.329,1247308.775,1
2017,8.54432409712654,47.371273688955,Andorra,Münstergasse,20,8001,Zürich,1103,Grossmünster,11,Rathaus,1,Kreis 1,0200 Uhr,Gastwirtschaft,Offen,2683510.865,1247302.933,1
2017,8.54394780136058,47.3717105512413,BarMünster,Münstergasse,30,8001,Zürich,1103,Grossmünster,11,Rathaus,1,Kreis 1,0400/Frei,Gastwirtschaft,Offen,2683481.762,1247351.099,1
2017,8.54363907693019,47.3718060383177,Saftlade,Münstergasse,31,8001,Zürich,1103,Grossmünster,11,Rathaus,1,Kreis 1,,Gastwirtschaft,Offen,2683458.297,1247361.386,1
2017,8.54452784555133,47.3709039173164,Dialog,Münstergasse,4,8001,Zürich,1103,Grossmünster,11,Rathaus,1,Kreis 1,,Gastwirtschaft,Offen,2683526.832,1247262.042,1
2017,8.54100726199053,47.3704353545366,Presse Club,Münsterhof,15,8001,Zürich,1302,Münsterhof,13,Lindenhof,1,Kreis 1,,Gastwirtschaft,Offen,2683261.678,1247206.21,1
2017,8.54172667803686,47.3699843322037,Zunfthaus zur Meisen,Münsterhof,20,8001,Zürich,1302,Münsterhof,13,Lindenhof,1,Kreis 1,,Gastwirtschaft,Offen,2683316.716,1247156.833,1
2017,8.54033933955362,47.3700028358604,Münsterhof,Münsterhof,6,8001,Zürich,1302,Münsterhof,13,Lindenhof,1,Kreis 1,,Gastwirtschaft,Offen,2683211.909,1247157.418,1
