"ObjectID","Datum","Standort","Velo_in","Velo_out","Fuss_in","Fuss_out"
193,2009-12-04T00:00:00,"ECO09022739",1,1,,
194,2009-12-04T00:15:00,"ECO09022739",0,3,,
195,2009-12-04T00:30:00,"ECO09022739",0,0,,
196,2009-12-04T00:45:00,"ECO09022739",0,1,,
197,2009-12-04T01:00:00,"ECO09022739",0,2,,
198,2009-12-04T01:15:00,"ECO09022739",0,0,,
199,2009-12-04T01:30:00,"ECO09022739",0,1,,
200,2009-12-04T01:45:00,"ECO09022739",0,1,,
201,2009-12-04T02:00:00,"ECO09022739",0,1,,
202,2009-12-04T02:15:00,"ECO09022739",0,0,,
203,2009-12-04T02:30:00,"ECO09022739",0,0,,
204,2009-12-04T02:45:00,"ECO09022739",0,0,,
205,2009-12-04T03:00:00,"ECO09022739",0,0,,
206,2009-12-04T03:15:00,"ECO09022739",0,0,,
207,2009-12-04T03:30:00,"ECO09022739",0,1,,
208,2009-12-04T03:45:00,"ECO09022739",0,0,,
209,2009-12-04T04:00:00,"ECO09022739",0,0,,
210,2009-12-04T04:15:00,"ECO09022739",0,0,,
211,2009-12-04T04:30:00,"ECO09022739",0,0,,
212,2009-12-04T04:45:00,"ECO09022739",0,0,,
213,2009-12-04T05:00:00,"ECO09022739",0,0,,
214,2009-12-04T05:15:00,"ECO09022739",0,0,,
215,2009-12-04T05:30:00,"ECO09022739",0,0,,
216,2009-12-04T05:45:00,"ECO09022739",0,0,,
217,2009-12-04T06:00:00,"ECO09022739",1,0,,
218,2009-12-04T06:15:00,"ECO09022739",0,0,,
219,2009-12-04T06:30:00,"ECO09022739",1,0,,
220,2009-12-04T06:45:00,"ECO09022739",1,0,,
221,2009-12-04T07:00:00,"ECO09022739",4,2,,
222,2009-12-04T07:15:00,"ECO09022739",2,0,,
223,2009-12-04T07:30:00,"ECO09022739",8,0,,
224,2009-12-04T07:45:00,"ECO09022739",7,1,,
225,2009-12-04T08:00:00,"ECO09022739",6,3,,
226,2009-12-04T08:15:00,"ECO09022739",9,1,,
227,2009-12-04T08:30:00,"ECO09022739",13,1,,
228,2009-12-04T08:45:00,"ECO09022739",10,1,,
229,2009-12-04T09:00:00,"ECO09022739",18,0,,
230,2009-12-04T09:15:00,"ECO09022739",19,2,,
231,2009-12-04T09:30:00,"ECO09022739",8,0,,
232,2009-12-04T09:45:00,"ECO09022739",5,1,,
233,2009-12-04T10:00:00,"ECO09022739",6,0,,
234,2009-12-04T10:15:00,"ECO09022739",8,1,,
235,2009-12-04T10:30:00,"ECO09022739",4,1,,
236,2009-12-04T10:45:00,"ECO09022739",6,2,,
237,2009-12-04T11:00:00,"ECO09022739",3,0,,
238,2009-12-04T11:15:00,"ECO09022739",3,0,,
239,2009-12-04T11:30:00,"ECO09022739",6,0,,
240,2009-12-04T11:45:00,"ECO09022739",1,0,,
241,2009-12-04T12:00:00,"ECO09022739",2,2,,
242,2009-12-04T12:15:00,"ECO09022739",7,0,,
243,2009-12-04T12:30:00,"ECO09022739",4,1,,
244,2009-12-04T12:45:00,"ECO09022739",0,1,,
245,2009-12-04T13:00:00,"ECO09022739",1,1,,
246,2009-12-04T13:15:00,"ECO09022739",2,1,,
247,2009-12-04T13:30:00,"ECO09022739",1,1,,
248,2009-12-04T13:45:00,"ECO09022739",2,2,,
249,2009-12-04T14:00:00,"ECO09022739",7,2,,
250,2009-12-04T14:15:00,"ECO09022739",3,0,,
251,2009-12-04T14:30:00,"ECO09022739",8,0,,
252,2009-12-04T14:45:00,"ECO09022739",6,1,,
253,2009-12-04T15:00:00,"ECO09022739",5,3,,
254,2009-12-04T15:15:00,"ECO09022739",3,1,,
255,2009-12-04T15:30:00,"ECO09022739",3,2,,
256,2009-12-04T15:45:00,"ECO09022739",1,5,,
257,2009-12-04T16:00:00,"ECO09022739",3,2,,
258,2009-12-04T16:15:00,"ECO09022739",0,1,,
259,2009-12-04T16:30:00,"ECO09022739",4,3,,
