VOLUMEN,ANZAHL_GEBAEUDE,BAUJAHR,QUALITAET,SHAPE.AREA,SHAPE.LEN
19450,3,2001,1,10000.000001,400.00000002
8293,6,1960,1,9999.9500005,399.99900001500004
18112,4,2001,0.90106007,10000,400.00000001
52627,20,1920,0.60562069,10000.0500005,400.001000015
16905,5,1960,1,9999.9500005,399.99900001500004
18410,10,1960,0.7840847400000001,9999.95,399.999000005
139135,6,1980,0.6278794,9999.999999,400
159565,4,1960,1,9999.95,399.99900001500004
74220,3,1960,1,9999.95,399.99900001500004
94724,6,1960,0.68044002,9999.95,399.99900001500004
31174,11,1960,0.73859627,9999.900001,399.99800002
29149,5,2001,0.68269923,10000.0500005,400.001000015
26848,12,1960,0.45385131,9999.9500005,399.99900001500004
42205,8,1920,0.51143229,10000.0500005,400.001000015
44589,10,1960,0.6322635600000001,10000.0500005,400.001000015
50862,5,1960,1,9999.9500005,399.99900001500004
14970,3,1960,1,10000,400.00000001
28510,18,1960,0.7261662600000001,10000,400.00000001
7885,13,1960,0.74470514,10000,400.00000001
26231,13,1960,1,10000.000001,400.00000002
13891,10,1960,0.48772587,10000.0500015,400.001000035
14442,3,1990,0.72303005,9999.900001,399.99800002
114030,18,1920,0.8325616100000001,9999.95,399.99900001500004
51928,14,1920,0.55382453,10000,400.00000001
21342,22,1920,0.62060725,9999.9,399.99800001
13384,4,1960,0.5492379000000001,10000,400.00000001
21553,8,1960,1,10000,400.00000001
43766,4,1980,0.73595942,10000,400.00000001
37546,19,1960,1,9999.95,399.999000005
42156,6,2001,0.53719518,10000.0500015,400.001000035
6336,4,1960,1,10000.0500015,400.001000035
23811,7,1960,1,9999.9500015,399.999000035
6900,4,1980,0.6384058,10000.0500015,400.001000035
162200,4,1920,0.90332922,10000.1,400.002
125271,9,1920,0.6372664100000001,10000.1,400.002
80095,7,1980,0.52331606,10000.1,400.002
63790,5,1960,0.60542405,10000.1,400.002
108466,30,1920,0.76173179,10000.1,400.002
111789,33,1920,0.91761265,10000.1,400.002
165385,9,1960,0.43196179,10000.050000000001,400.001000005
162589,18,1980,0.6927898,10000.0500005,400.001000015
66346,21,1920,0.51207307,10000,400.00000001
73197,17,1920,0.47272429,9999.95,399.99900001500004
89379,19,1960,0.7666677900000001,9999.95,399.99900001500004
38343,14,1920,0.53540412,10000,400.00000001
31076,11,1960,0.75543828,9999.9500005,399.99900001500004
32337,11,1960,1,10000,400.00000001
25567,8,1960,0.81382251,10000,400.00000001
14543,3,1960,0.7160145800000001,9999.9500005,399.99900001500004
10898,6,1920,0.55624885,10000,400.00000001
9304,5,2001,0.52450559,9999.95,399.999000005
32934,3,1990,0.9781380900000001,9999.950001,399.999000035
18475,17,1960,0.75031123,10000.000002,400.00000005
18454,9,1980,0.60214588,10000.0500015,400.001000035
52258,9,1960,1,9999.900001,399.99800002
26346,4,1980,0.76770667,9999.9500015,399.999000035
144817,7,1920,0.67258678,10000.1,400.002
152327,11,1980,0.45785711,10000,400.00000002
32678,3,1920,1,10000.0500005,400.001000015
24790,3,1980,0.61436063,9999.900001,399.99800002
7901,6,1920,1,10000.0500005,400.001000015
18790,8,1920,1,10000.0500005,400.001000015
66875,24,1920,0.82594393,10000.0500005,400.001000015
15304,5,2001,0.66975954,9999.95,399.99900001500004
86444,7,1980,0.73212716,10000,400.00000001
285808,6,1990,0.55421822,9999.9500005,399.99900001500004
11495,8,1960,1,10000,400.00000002
18380,6,2001,0.60331882,10000.0500015,400.001000035
14894,10,1960,0.83046865,9999.9500015,399.999000035
46793,9,1920,1,10000.1,400.002
58251,8,1960,0.96360578,10000.0500005,400.001000015
57856,7,1980,0.86110343,10000.0500005,400.001000015
18911,7,1960,0.7782771900000001,10000,400.00000001
25908,7,2000,0.49633318,10000,400.00000001
46771,9,1980,0.50584764,10000.000001,400.00000002
20780,3,1980,0.41000962,9999.9500015,399.999000035
14518,5,2000,0.68880011,9999.850002,399.997000035
73021,23,1920,0.81245121,10000.050000000001,400.001000005
47253,10,1920,1,10000.1,400.002
17421,6,1920,0.81573962,10000,400
27637,9,1920,0.86322683,10000.0500005,400.001000015
34033,7,1960,0.66943849,10000,400.00000001
11680,8,1920,0.53159247,9999.900001,399.99800002
23662,11,2000,0.46411969000000003,10000.000001,400.00000002
79844,22,1920,0.93850508,10000.1,400.00200001
20872,21,1920,0.87145458,9999.95,399.99900001500004
33840,9,1960,0.67745272,10000,400.00000001
37045,7,2001,0.82156836,9999.9500015,399.999000035
35328,13,1920,1,10000.1,400.002
66425,11,2001,0.27224689,9999.95,399.99900001500004
34128,15,1990,0.45440694000000004,10000,400.00000001
10902,9,1960,1,10000,400.00000001
24290,3,1990,0.60930424,10000.000001,400.00000002
24070,3,2001,0.83921894,10000.1,400.00200001
8251,5,1960,1,9999.9500005,399.99900001500004
58356,7,1960,0.35934608,10000.100001,400.00200002
9152,3,1920,0.89160839,10000.1,400.002
35075,16,1920,0.92872416,10000.1,400.002
21507,13,1960,0.49528061,10000,400.00000001
19592,13,1920,0.52975704,10000,400.00000001
19941,10,1960,0.7252896,10000.1,400.00200001
31350,9,1960,0.61055821,10000.0500005,400.001000015
15489,6,1960,0.92310672,10000.000001,400.00000002
79180,3,1960,0.52481687,10000.050000000001,400.001000005
40069,9,1920,0.66358032,10000.1,400.002
51579,12,1920,0.43903527000000003,10000.1,400.002
9044,4,2001,0.33624502,10000.0500005,400.001000015
13982,4,1980,0.62537548,10000.0500005,400.001000015
33053,3,1980,0.89834508,10000.0500005,400.001000015
52747,14,1980,0.60484956,10000.000001,400.00000002
27440,14,1960,0.34526239000000003,10000.050000000001,400.001000005
36174,14,1960,0.72535523,10000.150001,400.003000015
12833,7,1960,1,10000.0500005,400.001000015
43953,17,1920,0.86353605,10000.050000000001,400.001000005
24755,9,1980,0.68511412,10000.0500005,400.001000015
11715,8,1960,0.47383696000000003,10000.000001,400.00000002
10207,4,1960,0.88243362,10000.050003,400.001000065
12030,11,1920,0.95054032,10000.1000025,400.00200005
66496,17,1920,0.35493864,10000.100001,400.00200002
60549,21,1920,0.60937423,9999.9499995,399.99900001500004
43814,10,1920,0.9301593100000001,10000,400.00000001
20441,6,1920,1,10000,400.00000004
28580,11,1960,0.78149055,9999.999998,400.00000005
15197,4,1920,0.5731394400000001,10000.0500005,400.001000015
27124,9,1960,0.65690901,10000.1000005,400.00200001
35548,10,1960,0.84331045,10000.0500005,400.001000015
24961,17,1960,0.9046512600000001,10000.100001,400.00200002
45837,7,1960,1,10000.050000000001,400.001000005
16635,6,1960,1,10000.1000005,400.00200001
22369,12,1920,0.56372659,10000.0500015,400.001000035
40662,10,1960,0.63331858,10000.100001,400.00200002
20110,5,1920,0.88538041,9999.950001,399.999000045
49258,13,1920,0.49774656,10000,400.00000004
35303,16,1920,0.75271223,10000,400.00000004
39673,6,2001,0.51243919,10000,400.00000004
33373,9,1960,1,9999.949999,399.999000045
30730,8,1960,1,9999.949999,399.999000045
7591,4,1920,0.77209854,10000.0000005,400.00000003
13885,3,1920,1,10000,400.00000004
34521,12,1920,0.79230034,10000,400.00000004
22622,12,1960,0.87755282,10000.000001,400.00000002
47347,14,1920,0.49996832,10000.150002,400.003000035
35011,14,1920,0.64668247,9999.950001,399.999000045
33963,14,1920,0.69116391,10000,400.00000004
29638,4,1960,0.73277549,10000,400.00000004
14531,9,1960,0.54483518,10000.100001,400.00200003
18351,3,2000,1,9999.900001,399.99800003
33147,3,1990,0.98054123,9999.900001,399.99800002
23019,4,1960,0.97945176,10000.0500015,400.001000035
40504,10,1920,0.61295181,9999.900002,399.99800005
26507,7,1920,0.51220432,9999.950001,399.999000045
34601,9,1920,0.35435392,9999.950001,399.999000045
37601,12,1920,0.7133055,9999.950001,399.999000045
32544,11,1960,0.8227630300000001,10000.050000000001,400.001000025
36801,4,1920,0.8981006,10000,400.00000001
29202,9,1960,0.44140812,10000,400.00000001
13139,8,1960,0.48725169,10000.0500005,400.001000015
22205,7,1960,0.63791939,10000.100002,400.00200005
30567,6,1980,0.5064285000000001,10000.0500015,400.001000035
33155,13,1920,0.49579249000000003,9999.950001,399.999000045
62656,22,1920,0.8834908100000001,10000.0000005,400.00000003
28661,11,1960,0.7004291500000001,10000,400.00000004
20636,7,1960,0.84299283,10000,400.00000004
14295,7,1960,1,10000.050001,400.001000045
44084,11,1920,0.79799927,10000.100001,400.00200002
35726,16,1920,0.58520405,9999.950001,399.999000045
35697,5,1960,1,9999.950001,399.999000045
3659,5,1960,1,10000.1000005,400.00200001
72079,5,1960,0.73660844,10000,400.00000001
24256,11,1960,1,9999.900001,399.99800002
19377,7,1960,0.56819941,10000.0500015,400.001000035
27313,9,1920,0.6331783400000001,10000,400.00000004
15642,8,1960,0.7190257,10000.100001,400.00200003
15828,8,1960,1,10000.0500005,400.001000015
15893,7,1960,1,9999.9,399.99800001
54417,5,2001,0.7900656,9999.9500005,399.99900001500004
23951,12,1980,0.6049434300000001,9999.95,399.999000005
21032,11,1920,0.77600799,10000.0500005,400.001000045
17407,10,1980,0.43832941000000003,10000,400.00000004
12429,6,1980,0.51814305,10000.100001,400.00200003
27564,5,1980,0.7197794200000001,10000.000001,400.00000002
11423,3,1960,1,10000.0500005,400.001000015
16174,4,1980,0.76579696,9999.9500005,399.99900001500004
18332,8,1960,1,9999.900001,399.99800002
5607,3,1960,1,9999.850001,399.997000015
23983,13,1960,0.6015094,10000.100001,400.00200002
14136,4,1980,0.62606112,10000.0000005,400.00000003
29433,12,1960,0.91455169,9999.950001,399.999000045
10114,7,1960,0.75479533,10000.100001,400.00200003
17599,8,1960,1,10000,400.00000001
19705,11,1960,0.61375285,10000.0500005,400.001000015
13745,7,1960,0.60240087,10000.000001,400.00000002
24211,5,2000,1,9999.95,399.99900001500004
25665,5,2000,0.54548997,10000,400.00000001
11260,4,1960,1,10000,400.00000001
20906,3,1960,1,10000.000001,400.00000002
12216,6,1960,0.63351343,10000.100001,400.00200003
6990,6,1920,1,10000.050000000001,400.001000005
7494,7,1960,0.52682146,9999.900001,399.99800002
157244,3,1920,0.97542673,10000,400.00000001
25228,3,1980,0.85619153,10000,400.00000001
8911,6,1920,0.40994277,9999.850001,399.997000015
20833,5,2001,0.49584793,10000,400.00000001
23811,3,1980,0.88492713,10000.0500005,400.001000015
2525,5,1960,1,9999.95,399.999000005
11877,4,2001,0.78294182,10000.000001,400.00000002
23154,7,1960,0.75213786,9999.95,399.99900001500004
12373,4,1980,0.64212398,10000,400.00000001
20380,5,1960,0.60647694,10000.150001,400.003000015
26291,6,1960,0.91784261,10000.000001,400.00000002
